,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
188,Derrick Favors,Okc,F,30.69,39,16.7,34.9,13.4,4.5,25,0.64,166,16,5.3,4.7,14.4,0.6,0.44,0.31,0.23
189,Bruno Fernando,Bos,F-C,23.6,20,2.9,6.1,16.1,23.6,5,0.8,13,1,1,0.8,13.8,0.2,0,0.15,0.25
190,Bruno Fernando,Hou,F-C,23.6,6,7.9,16.5,26,10.3,7,0.571,22,1,6,3.7,25.4,0,0,0.67,0.5
191,Dorian Finney-Smith,Dal,F,28.89,70,33.2,69.1,13.8,10.7,77,0.675,232,371,10.7,4.9,8.2,1.9,1.1,0.47,1.09
192,Malik Fitts,Uta,F,20,7,5,10.4,13.7,18.2,0,0,5,4,0.9,1.4,15.6,0,0,0,0.29
193,Malik Fitts,Bos,F,20,5,2.1,4.4,16.6,0,0,0,0,4,0.6,0.6,15.2,0,0,0,0
194,Malachi Flynn,Tor,G,23.87,40,12,25,16.3,6,23,0.609,81,81,4.3,1.4,6.4,1.6,0.45,0.1,0.28
195,Bryn Forbes,San,G,28.67,40,16.9,35.2,21.9,9.4,49,0.898,145,151,9.1,1.6,4.9,1,0.43,0.08,0.83
196,Bryn Forbes,Den,G,28.67,30,18.2,37.9,20.6,8.2,31,0.903,93,128,8.9,0.9,2.9,1,0.2,0.07,0.7
197,Aleem Ford,Orl,F,20,5,14.7,30.6,14.1,16.7,0,0,5,15,2.8,3,10.8,0.4,0.2,0,0.8
198,Trent Forrest,Uta,G,23.78,55,12.7,26.4,12.9,22.4,47,0.809,114,25,3.3,1.7,7.1,1.7,0.53,0.09,0.84
199,Evan Fournier,Nyk,G-F,29.4,70,29.7,61.8,20.9,9.4,100,0.7,314,539,14.4,2.7,4.8,2,0.97,0.26,1.33
200,De'Aaron Fox,Sac,G,24.26,59,35.3,73.6,29,11.9,348,0.75,843,249,23.2,3.9,6,5.6,1.15,0.42,2.85
201,Tim Frazier,Orl,G,31.39,10,20,41.6,13,21.7,9,0.556,26,17,3.7,1.9,5,3.3,0.3,0.1,1.3
202,Tim Frazier,Cle,G,31.39,2,4.1,8.4,21.8,50,0,0,2,0,1,0,0,0.5,0,0,1
203,Enes Freedom,Bos,C,29.84,35,11.8,24.5,13.9,15.5,28,0.857,92,5,3.7,4.6,20.9,0.2,0.14,0.4,0.57
204,Markelle Fultz,Orl,G,23.82,10,18.1,37.7,26.3,20,18,0.778,73,7,8.8,2.7,7.9,4.5,0.7,0.3,2.2
205,Wenyen Gabriel,Bro,F,24.99,1,1.3,2.7,0,,0,0,0,0,0,1,41.9,0,0,0,0
206,Wenyen Gabriel,Lac,F,24.99,6,7.7,16.1,16.9,16.9,4,0.5,8,5,2.3,2.3,15.8,0.3,0.17,0.33,0.5
207,Wenyen Gabriel,Lal,F,24.99,9,14.8,30.7,19,6.8,17,0.647,30,17,6.2,4,14.5,0.6,0.33,0.22,0.44
208,Daniel Gafford,Was,F-C,23.47,62,20.2,42,16.4,12.6,121,0.711,350,0,9.2,5.8,15.7,1,0.4,1.42,0.94
209,Danilo Gallinari,Atl,F,33.62,60,24.8,51.7,18.1,5.4,145,0.903,263,256,11.1,4.6,10.2,1.5,0.43,0.18,0.55
210,Langston Galloway,Bro,G,30.29,4,14.6,30.3,13.3,27.8,0,0,5,8,3,2,7.5,1.3,0,0,1.25
211,Langston Galloway,Mil,G,30.29,3,16.2,33.7,12.3,7.1,0,0,5,8,0.7,3.3,10.9,2.3,0.33,0,0.33
212,Darius Garland,Cle,G,22.15,58,35.6,74.1,27.7,17.3,195,0.908,594,392,21.4,3.3,5.2,8.6,1.22,0.1,3.86
213,Marcus Garrett,Mia,G,23.37,12,10.7,22.3,8.7,7.9,5,0.4,17,4,1.1,1.9,10.1,0.6,0.42,0.25,0.17
214,Usman Garuba,Hou,F,20.04,16,7,14.5,11.4,13.4,2,0.5,11,14,1.4,2.3,18.1,0.5,0.5,0.44,0.25
215,Luka Garza,Det,C,23.24,31,11.6,24.1,20.4,10,55,0.655,87,42,5.4,2.9,13.6,0.5,0.29,0.16,0.55
216,Rudy Gay,Uta,F-G,35.6,48,19,39.6,19.3,10.4,76,0.789,149,180,8.2,4.4,12.7,1,0.5,0.31,0.88
217,Paul George,Lac,F,31.89,26,35.5,74,34.1,15.2,117,0.88,339,217,24.7,7.1,10.4,5.5,2.04,0.38,4.19
218,Taj Gibson,Nyk,F,36.75,45,17.9,37.4,9.5,13.7,40,0.775,109,24,4.1,4.4,13.1,0.6,0.4,0.78,0.53
219,Josh Giddey,Okc,G,19.45,54,31.5,65.6,22.2,19.5,79,0.709,457,213,12.5,7.8,12.6,6.4,0.94,0.37,3.17
220,Shai Gilgeous-Alexander,Okc,G-F,23.7,56,34.7,72.2,30.8,11.1,405,0.81,755,297,24.5,5,7.3,5.9,1.29,0.8,2.75
221,Anthony Gill,Was,F,29.43,34,8.1,16.9,14.8,12,35,0.743,50,15,3.3,1.4,9.6,0.5,0.12,0.21,0.32
222,Freddie Gillespie,Orl,F,20,9,13.2,27.5,11,16.6,7,0.429,21,1,2.3,4,16.1,0.6,0.33,1,0.56
223,Rudy Gobert,Uta,C,29.74,57,31.9,66.4,16.8,14.4,364,0.698,436,2,15.4,14.5,24.8,1.1,0.65,2.21,1.77
224,Brandon Goodwin,Cle,G,26.47,29,15.2,31.6,17.8,17.5,30,0.6,83,50,5,2.2,8.1,3,0.79,0.03,1.07
225,Jordan Goodwin,Was,G,23.41,2,3,6.1,22.6,0,0,0,2,1,0,0.5,9.3,0,0,0,0
226,Aaron Gordon,Den,F,26.52,67,31.2,65.1,19.7,12.7,208,0.74,496,230,14.4,5.6,10,2.5,0.61,0.57,1.78
227,Eric Gordon,Hou,G,33.24,55,29.5,61.5,18.9,14.8,135,0.778,260,296,13.8,2,3.7,2.7,0.49,0.33,1.95
228,Devonte' Graham,Nor,G,27.08,67,29.6,61.7,19.7,10.9,124,0.831,233,522,12.3,2.5,4.7,4.4,0.96,0.15,1.48
229,Jerami Grant,Det,F,28.03,45,32.7,68.1,25.6,9.5,251,0.837,436,248,19.5,4,6.7,2.4,0.96,1.09,1.84
230,Hassani Gravett,Orl,G,25.68,8,21.4,44.6,12.3,18.5,4,0.75,12,26,6.3,2.6,6.5,2.5,0.63,0.13,1.13
231,Danny Green,Phi,G,34.75,51,22,45.9,12.4,12,12,0.833,43,224,5.8,2.4,6,1,0.94,0.59,0.73
232,Draymond Green,Gol,F,32.05,38,29.2,60.8,14.1,31.6,73,0.616,165,48,7.4,7.4,13.7,7.1,1.37,1.08,2.97
233,Javonte Green,Chi,G-F,28.67,55,24.2,50.3,11.4,7.8,85,0.824,193,87,7.4,4.3,10,1,0.96,0.53,0.49
234,Jalen Green,Hou,G,20.12,57,31.2,64.9,23,12.2,190,0.8,402,358,15.7,3.2,5.7,2.7,0.68,0.25,2.05
235,JaMychal Green,Den,F-C,31.75,60,16.2,33.7,17.7,13.6,85,0.882,181,119,6.6,4.2,14.5,0.9,0.67,0.42,0.88
236,Jeff Green,Den,F,35.57,68,24.8,51.6,16.4,10.3,181,0.829,333,151,10.3,3.1,7,1.3,0.35,0.37,0.96
237,Josh Green,Dal,G,21.35,57,15.3,32,14,12.9,41,0.683,159,60,4.7,2.4,8.8,1.2,0.7,0.23,0.61
238,Blake Griffin,Bro,F,33.02,54,17.4,36.3,17,8.1,76,0.724,168,139,6.5,4.1,12.9,1.9,0.5,0.26,0.56
239,Quentin Grimes,Nyk,G,21.87,43,17.2,35.8,14.9,10.3,19,0.684,44,174,6.1,2,6.2,0.9,0.72,0.26,0.6
240,Kyle Guy,Mia,G,24.61,19,9.8,20.4,19.9,15.6,12,0.667,25,40,3.9,0.9,5.2,0.9,0.37,0.05,0.68
241,Rui Hachimura,Was,F,24.12,31,20.2,42.1,20.6,8.6,41,0.78,167,81,10.2,3.3,9,1,0.68,0.16,0.81
242,Tyrese Haliburton,Sac,G,22.06,51,34.4,71.8,18.2,15.4,104,0.837,334,252,14.3,3.9,6.1,7.4,1.69,0.67,2.25
243,Tyrese Haliburton,Ind,G,22.06,16,36.6,76.2,20.7,21.9,48,0.813,103,97,17.4,4.2,6.3,9.1,1.88,0.5,3.88
244,Tyler Hall,Nyk,G,25,1,1.9,4,0,,0,0,0,0,0,0,0,0,0,0,0
245,R.J. Hampton,Orl,G,21.12,55,20.8,43.4,18.3,15.1,100,0.61,218,150,7.2,2.9,7.3,2.4,0.69,0.24,1.33
246,Tim Hardaway Jr.,Dal,G-F,30.02,42,29.6,61.8,22,5.6,103,0.757,226,304,14.2,3.7,6.9,2.2,0.9,0.14,0.81
247,James Harden,Bro,G,32.57,44,37,77.1,28.4,19.8,350,0.869,399,307,22.5,8,11.8,10.2,1.27,0.7,4.82
248,James Harden,Phi,G,32.57,11,38,79.1,25.2,15.8,108,0.87,80,69,22.4,7,10.3,10.5,1.55,0.18,3.36
249,Maurice Harkless,Sac,F-G,28.87,47,18.4,38.3,11.1,13.8,28,0.714,80,101,4.6,2.4,7,0.5,0.62,0.51,0.66
250,Jared Harper,Nor,G,24.52,2,5.3,10.9,32.7,12.5,0,0,5,2,3.5,0.5,5.2,1.5,0,0.5,0.5
251,Montrezl Harrell,Was,F-C,28.15,46,24.3,50.6,20.8,9.6,205,0.727,368,15,14.1,6.7,15.2,2.1,0.39,0.67,1.09
252,Montrezl Harrell,Cha,F-C,28.15,16,23.1,48.1,20.1,8,75,0.693,126,2,13.1,5.9,13.5,1.8,0.44,0.56,0.88
253,Gary Harris,Orl,G,27.52,61,28.4,59.1,16.4,9.3,95,0.874,251,302,11.1,2,3.7,1.8,0.97,0.15,1
254,Joe Harris,Bro,G-F,30.54,14,30.2,62.9,14.6,11.2,6,0.833,36,88,11.3,4,7.2,1,0.5,0.14,1.14
255,Shaquille Harrison,Bro,G,28.46,2,11.3,23.5,15.3,25,0,0,4,2,2,2,9.7,1.5,0.5,0.5,1
256,Tobias Harris,Phi,F,29.69,62,35.1,73,22.2,9.5,190,0.842,665,221,17.6,7,11,3.5,0.56,0.61,1.65
257,Isaiah Hartenstein,Lac,C-F,23.88,60,17.1,35.7,18.5,16.7,110,0.655,297,14,7.9,4.6,13.8,2.1,0.77,1.18,1.2
258,Josh Hart,Nor,G,27.05,41,33.5,69.8,16.7,15.1,154,0.753,256,130,13.4,7.8,12.7,4.1,1.1,0.27,1.98
259,Josh Hart,Por,G,27.05,13,32.1,66.8,25.1,13.7,57,0.772,100,83,19.9,5.4,9.2,4.3,1.23,0.15,2.54
260,Udonis Haslem,Mia,F,41.78,10,5.9,12.3,20.6,11,3,1,21,2,2.8,1.8,17.2,0.3,0.1,0.1,0.3
261,Sam Hauser,Bos,F,24.29,19,4.6,9.6,14.6,6.9,0,0,1,26,1.7,0.7,8,0.2,0.05,0.05,0.11
262,Jaxson Hayes,Nor,C-F,21.83,60,19.3,40.2,16.5,11.2,159,0.767,283,42,9.1,4.5,12.7,0.6,0.43,0.8,0.83
263,Killian Hayes,Det,G,20.66,56,24.5,51,15,20,65,0.769,223,133,6.1,3,6.7,4.3,1.04,0.5,1.71
264,Gordon Hayward,Cha,F,32,48,32.2,67.1,20.7,10.6,149,0.846,393,218,16.1,4.6,7.5,3.6,0.96,0.46,1.67
265,Aaron Henry,Phi,F,22.56,6,2.8,5.9,18.6,28.6,0,0,4,1,0.3,0.2,3.3,0,0,0.33,0.33
266,Juancho Hernangomez,Bos,F,26.48,18,5.3,11.1,17,16.2,9,0.667,9,18,1.1,1.4,14,0.2,0.22,0.11,0.33
267,Juancho Hernangomez,San,F,26.48,5,10.1,21.1,8.1,20.5,4,0.75,3,3,1.4,3,15.5,0.6,0.2,0.2,0.4
268,Juancho Hernangomez,Uta,F,26.48,8,13.9,28.9,12.7,15.4,10,0.5,3,20,3.4,2.5,9.8,0.6,0.63,0.75,0.63
269,Willy Hernangomez,Nor,C-F,27.82,42,16.8,34.9,22.9,12,117,0.752,268,11,9.3,6.8,22.4,1.2,0.45,0.4,1.07
270,Tyler Herro,Mia,G,22.17,59,32.6,68,29,11.9,202,0.871,621,396,20.9,4.8,8.3,3.8,0.66,0.14,2.54
271,Buddy Hield,Sac,G,29.26,55,28.6,59.6,22.4,10.9,92,0.87,198,495,14.4,4,7.6,1.9,0.87,0.27,1.64
272,Buddy Hield,Ind,G,29.26,16,36.4,75.8,22.4,11.8,28,0.893,120,137,18.4,5.3,8.1,5,0.88,0.25,2.25
273,Haywood Highsmith,Mia,F,25.28,14,7.7,16,12.3,6.7,4,0.5,9,17,1.9,1.3,9.4,0.1,0.07,0.14,0.14
274,George Hill,Mil,G,35.89,45,24.3,50.7,11.8,12,52,0.923,120,122,6.6,3,6.6,2.3,0.82,0.13,0.8
275,Malcolm Hill,Atl,F,26.41,3,15.3,31.9,9.3,0,4,1,3,5,5.7,2,7.2,0.3,1.33,0.33,0
276,Malcolm Hill,Chi,F,26.41,14,10.8,22.5,13.8,4.2,10,0.7,12,29,3.8,1.9,9.6,0.3,0.14,0.14,0.14
277,Solomon Hill,Atl,F,31.01,13,10.7,22.3,6.6,4.8,0,0,7,13,0.6,1.8,9,0.9,0.31,0.15,0.08
278,Nate Hinton,Ind,G-F,22.79,2,1.2,2.5,35.7,50,0,0,1,0,0,0,0,0,0,0,0.5
279,Jaylen Hoard,Okc,F,22.98,1,1.8,3.8,24,0,0,0,1,0,0,2,56.7,0,0,0,0
280,Aaron Holiday,Was,G,25.48,41,16.2,33.7,18,14.5,35,0.8,147,67,6.1,1.6,5.6,1.9,0.59,0.22,0.95
281,Aaron Holiday,Pho,G,25.48,16,17.5,36.5,18.8,16.4,23,0.957,69,23,7.6,2.6,7.8,3.9,1,0,1.25
282,Jrue Holiday,Mil,G,31.78,59,33.1,69,23.6,15,162,0.759,570,278,18.5,4.5,7.1,6.7,1.61,0.44,2.75
283,Justin Holiday,Ind,F-G,32.97,49,28.9,60.2,15.9,9.3,41,0.829,122,336,11,2.8,5.3,1.8,0.73,0.37,1
284,Justin Holiday,Sac,F-G,32.97,16,27.8,58,16,8.4,16,0.813,41,105,9.3,2.3,4.4,1.6,0.81,0.69,0.88
285,Richaun Holmes,Sac,F,28.44,45,23.9,49.7,15.8,14.2,90,0.778,295,5,10.4,7,16,1.1,0.38,0.93,1.24
286,Rodney Hood,Mil,G-F,29.42,39,14.9,31.1,10.6,4.9,14,0.929,51,80,3.3,1.7,6.1,0.8,0.31,0.1,0.18
287,Rodney Hood,Lac,G-F,29.42,8,8.9,18.6,12.9,9.6,2,0.5,11,7,2.3,0.8,4.4,0.6,0.25,0.13,0.25
288,Scotty Hopson,Okc,G-F,32.63,1,17.7,36.9,14.6,33.3,0,0,3,1,4,1,2.9,1,0,0,2
289,Al Horford,Bos,C-F,35.8,63,28.9,60.3,15.2,9.7,92,0.837,280,246,10,7.5,14,3.3,0.7,1.33,0.97
290,Talen Horton-Tucker,Lal,G,21.32,52,25.5,53.2,18.5,13.3,98,0.776,295,157,9.4,3.3,6.9,2.7,0.9,0.52,1.46
291,Danuel House Jr.,Hou,F-G,28.79,16,14.5,30.3,18.3,17.9,19,0.895,40,34,4.8,2.7,10.1,1.2,0.31,0.31,1.13
292,Danuel House Jr.,Nyk,F-G,28.79,1,3.4,7.1,12.9,0,0,0,0,1,0,0,0,0,0,0,0
293,Danuel House Jr.,Uta,F-G,28.79,19,18.2,37.9,12.9,6.8,26,0.692,28,56,6.5,2.6,7.9,1.2,0.47,0.42,0.37
294,Dwight Howard,Lal,C-F,36.29,51,14.9,31,14,17,106,0.642,149,9,5.2,5.6,20.1,0.6,0.57,0.63,0.82
295,Markus Howard,Den,G,23.06,29,5.1,10.7,27.9,6.3,15,0.867,22,60,3.5,0.3,3.4,0.2,0.28,0,0.21
296,Kevin Huerter,Atl,G-F,23.57,64,29.4,61.2,17.4,11,44,0.795,305,340,11.6,3.4,6.4,2.7,0.67,0.39,1.28
297,Jay Huff,Lal,C,24.58,4,5.1,10.6,8.5,25,0,0,1,2,0,1,10.5,0.3,0.25,0.25,0.25
298,Elijah Hughes,Uta,G,24.04,14,8,16.7,17.2,15.8,3,1,8,28,3.1,1.2,8.3,0.4,0.29,0.07,0.5
299,Elijah Hughes,Por,G,24.04,13,12.1,25.2,17.3,9.5,2,0.5,19,37,3,1.8,8.3,0.5,0.31,0.23,0.46
300,De'Andre Hunter,Atl,F-G,24.31,44,29.9,62.4,19.5,9.7,135,0.756,307,165,13.4,3.2,5.9,1.3,0.73,0.41,1.3
301,Chandler Hutchison,Pho,F-G,25.9,6,3.7,7.8,13.3,58.1,2,1,2,0,0.7,0.8,12,0.3,0,0,0.67
302,Bones Hyland,Den,G,21.52,60,18.4,38.3,23.8,12.3,92,0.859,184,298,9.6,2.8,8.3,2.4,0.57,0.22,1.22
303,Serge Ibaka,Lac,F,32.51,35,15.4,32.1,19.4,13.9,29,0.69,130,62,6.6,4.3,14.5,1,0.2,0.74,0.94
304,Serge Ibaka,Mil,F,32.51,15,18.7,38.9,15.1,7.1,14,0.786,55,31,7,5.3,15.1,0.5,0.2,0.47,0.47
305,Andre Iguodala,Gol,G-F,38.15,26,19.9,41.5,11.1,17.4,16,0.813,41,61,4.1,3.3,9,3.8,0.85,0.81,0.88
306,Joe Ingles,Uta,F-G,34.47,45,24.9,51.9,13.2,13.5,22,0.773,60,225,7.2,2.9,6.4,3.5,0.51,0.11,1.02
307,Brandon Ingram,Nor,F,24.55,50,34.2,71.3,29.3,11.6,277,0.816,696,215,22.8,5.7,9.1,5.5,0.64,0.46,2.72
308,Kyrie Irving,Bro,G,30,19,36.1,75.2,29.9,9.2,91,0.901,250,142,27.7,4.6,7,5.3,1.37,0.68,2.32
309,Wes Iwundu,Atl,F,27.26,3,27.4,57.1,11.1,4.8,4,0.75,13,5,7.3,4.3,8.7,0,0.33,0,0.33
310,Jaren Jackson Jr.,Mem,F-C,22.52,71,27.3,56.9,25.4,9.8,315,0.813,583,363,16.4,5.9,11.2,1.1,0.94,2.25,1.66
311,Frank Jackson,Det,G,23.89,44,22.3,46.5,20.7,7.4,78,0.795,165,241,10.7,1.6,3.8,1,0.52,0.2,0.8
312,Isaiah Jackson,Ind,F,20.2,30,13.6,28.3,23.5,13.9,72,0.653,148,13,7.7,4.2,17.2,0.3,0.47,1.37,1.03
313,Josh Jackson,Det,G-F,25.11,39,18.1,37.8,19,12.1,56,0.714,138,113,7.1,3.2,9.4,1.3,0.54,0.46,0.97
314,Josh Jackson,Sac,G-F,25.11,6,3.1,6.5,29.5,23.3,2,1,4,5,0.7,0.3,5.8,0.2,0.17,0.17,0.5
315,Justin Jackson,Bos,F,26.99,1,2,4.2,41.5,0,2,1,1,0,2,0,0,0,0,0,0
316,Justin Jackson,Pho,F,26.99,6,5.8,12,18.8,6.7,0,0,5,9,2.2,1.2,10.9,0.3,0,0,0.17
317,Reggie Jackson,Lac,G,31.93,69,31.1,64.8,27.6,11.6,151,0.834,651,472,16.9,3.7,6.2,4.8,0.74,0.17,2.26
318,LeBron James,Lal,F,37.23,54,37.1,77.3,32.2,12.4,318,0.758,744,427,30,8.2,11.8,6.3,1.33,1.07,3.44
319,DeJon Jarreau,Ind,G,24.16,1,0.9,1.9,0,,0,0,0,0,0,0,0,0,0,0,0
320,DaQuan Jeffries,Mem,G-F,24.56,3,2.9,6.1,9.3,0,0,0,1,1,0.7,0.7,11.8,0.3,0,0,0
321,Ty Jerome,Okc,G-F,24.71,48,16.7,34.8,20.8,9.6,47,0.809,142,186,7.1,1.6,5,2.3,0.63,0.1,0.77
322,Isaiah Joe,Phi,G,22.72,50,11.2,23.4,15,8.6,26,0.923,36,123,3.5,1,5,0.6,0.24,0.06,0.32
323,Alize Johnson,Chi,F,25.92,16,7.5,15.7,12.4,23.5,7,0.571,21,2,1.8,2.3,16.7,0.5,0.19,0,0.5
324,Alize Johnson,Was,F,25.92,3,6.1,12.6,23.1,31.8,1,0,4,2,1.3,4,36.3,0,0,0,1
325,Alize Johnson,Nor,F,25.92,4,7.1,14.8,19.2,7.8,4,0.75,10,0,2.3,3.3,25.1,0.3,0.5,0,0.25
326,BJ Johnson,Orl,F,26.25,4,16.2,33.6,16.7,0,0,0,15,10,6.5,3.8,12.3,0,0,0.25,0
327,Cameron Johnson,Pho,F,26.05,60,26.3,54.8,17.3,5.9,102,0.873,194,355,12.8,4.1,8.4,1.5,0.83,0.23,0.62
328,David Johnson,Tor,G,21.07,2,1,2.1,21.4,0,0,0,0,1,0,0,0,0,0,0,0
329,James Johnson,Bro,F,35.09,56,19.5,40.6,14.2,12.2,53,0.528,211,82,5.9,3.5,9.8,2.1,0.46,0.52,0.79
330,Jalen Johnson,Atl,F,20.26,17,4.1,8.5,18.1,14,6,0.667,14,8,1.7,1,13.4,0.1,0.06,0.06,0.24
331,Joe Johnson,Bos,G-F,40.74,1,2,4.2,22.1,0,0,0,1,0,2,0,0,0,0,0,0
332,Keldon Johnson,San,F-G,22.45,66,31.6,65.9,20.7,7.8,188,0.745,530,333,16.3,6.1,10.1,2,0.74,0.14,1.21
333,Keon Johnson,Lac,G,20.04,15,9,18.7,22,10.4,21,0.762,40,11,3.5,1.4,8.1,0.9,0.47,0.13,0.47
334,Keon Johnson,Por,G,20.04,11,21.5,44.9,18.6,11.8,17,0.824,50,32,7,2.7,6.9,1.9,0.73,0.27,1.09
335,Stanley Johnson,Lal,F-G,25.81,38,21.5,44.8,12.2,9.1,43,0.721,113,78,6.2,3.1,7.6,1.6,0.92,0.34,0.55
336,Tyler Johnson,Phi,G,29.87,3,12.7,26.5,13,9.1,0,0,3,7,3.7,2,8.7,0.7,0.33,0.33,0.33
337,Tyler Johnson,San,G,29.87,3,17.7,36.9,8.7,9.1,0,0,4,6,2,2,5.9,1.7,0.67,0.67,0.33
338,Nikola Jokic,Den,C,27.09,66,33.1,69,31.5,15.5,396,0.813,876,272,26.2,13.6,22.8,8,1.36,0.88,3.67
339,Derrick Jones Jr.,Chi,F,25.1,45,17.8,37,12.3,11.2,61,0.787,121,50,5.6,3.4,10.8,0.6,0.49,0.69,0.56
340,Carlik Jones,Dal,G,24.25,3,6.4,13.3,25.5,27.6,2,1,6,1,0.7,1,8.6,1.7,0.33,0,1
341,Carlik Jones,Den,G,24.25,2,2,4.2,22,0,0,0,2,0,1,0,0,0,0,0,0
342,Damian Jones,Sac,C,26.73,47,15.9,33.2,15.3,16.4,86,0.709,166,20,6.4,3.9,13.2,1.1,0.43,0.7,0.94
343,Herbert Jones,Nor,F,23.46,69,30,62.4,13.7,13.8,143,0.853,367,139,9.7,3.9,7.1,2.2,1.57,0.78,1.32
344,Jemerrio Jones,Lal,F,26.95,2,7.4,15.3,8.8,0,0,0,3,0,2,1.5,10.9,0,0.5,0,0
345,Kai Jones,Cha,C-F,21.17,19,3,6.3,16.6,26.6,8,0.375,11,2,1.1,0.6,10.1,0.2,0.05,0,0.32
346,Mason Jones,Lal,G,23.67,2,4.4,9.2,48.3,10.1,2,0.5,6,2,2.5,1,12.1,0,0.5,0,0.5
347,Tre Jones,San,G,22.2,59,15.2,31.7,15.5,11.8,67,0.791,226,35,5.3,2.1,7.1,2.9,0.54,0.05,0.66
348,Tyus Jones,Mem,G,25.87,65,20.4,42.4,16.5,7.5,54,0.833,295,174,8.2,2.4,6.1,4.1,0.91,0.03,0.62
349,DeAndre Jordan,Lal,C,33.67,32,12.8,26.6,12.8,17.3,26,0.462,89,0,4.1,5.4,22.5,0.4,0.31,0.81,0.66
350,DeAndre Jordan,Phi,C,33.67,8,14.1,29.4,15.3,26,10,0.9,24,0,3.6,5.5,21.7,0.5,0.25,0.5,1.25
351,Cory Joseph,Det,G,30.59,60,25,52,14.3,16.3,101,0.871,229,144,8,2.6,5.7,3.8,0.62,0.28,1.35
352,Georgios Kalaitzakis,Mil,F,23.22,9,5.3,11.1,17,21.1,9,0.444,7,4,1.8,0.9,8.8,0,0.11,0.11,0.44
353,Frank Kaminsky,Pho,F-C,28.97,9,20.1,41.9,19.1,6.3,20,0.9,51,15,10.6,4.6,12.1,1.4,0.89,0.78,0.56
354,Luke Kennard,Lac,G,25.74,63,27.5,57.4,16.5,8.4,63,0.889,191,378,11.6,3.3,6.3,2.1,0.57,0.1,0.87
355,Braxton Key,Phi,F,25.1,2,3.2,6.7,28.2,50,0,0,1,1,1,1,17.4,0.5,0.5,0,1
356,George King,Dal,F-G,28.18,4,4.8,10,16.1,14.5,2,0.5,1,4,0.3,1.3,14.4,0,0,0,0.25
357,Louis King,Sac,F,22.96,10,10.4,21.6,21.2,0,10,0.7,20,27,4.5,1.2,6.3,0.9,0.2,0.1,0
358,Corey Kispert,Was,F,23.06,66,21.9,45.6,14.8,8.5,53,0.849,162,254,7.7,2.6,6.6,1,0.36,0.3,0.62
359,Maxi Kleber,Dal,F,30.15,53,24.9,51.8,13.2,10.1,61,0.721,91,229,7.1,5.8,13,1.2,0.51,1.06,0.74
360,Brandon Knight,Dal,G,30.31,3,18.2,37.8,22.7,14.5,8,1,7,13,10,2.3,7.1,2.7,0.33,0,1.33
361,Nathan Knight,Min,F-C,24.51,34,7.1,14.7,19.5,14.3,57,0.737,62,9,3.4,2.1,16.1,0.5,0.21,0.21,0.47
362,Kevin Knox II,Nyk,F,22.61,13,8.5,17.8,19.5,10.1,10,0.7,12,28,3.6,1.7,10.5,0.2,0.15,0.08,0.38
363,Kevin Knox II,Atl,F,22.61,12,6.4,13.3,18.1,6.3,6,0.667,13,14,1.6,1.3,11.4,0.6,0.08,0,0.17
364,John Konchar,Mem,G,26,62,17.9,37.3,9.5,9.3,39,0.59,109,107,4.5,4.5,12.9,1.4,0.65,0.32,0.39
365,Furkan Korkmaz,Phi,G-F,24.66,59,22.5,46.9,17.8,8.8,78,0.795,193,251,8.3,2.9,7.1,2.1,0.54,0.12,0.78
366,Luke Kornet,Cle,F-C,26.69,2,7.5,15.5,18.7,0,3,0.667,4,1,2,1.5,11.1,0.5,0,0.5,0
367,Luke Kornet,Mil,F-C,26.69,1,3,6.3,14.2,0,0,0,1,0,0,1,17.6,0,0,0,0
368,Luke Kornet,Bos,F-C,26.69,5,3.8,8,9.2,0,0,0,2,2,0,0.6,8.4,0.2,0.4,0,0
369,Vit Krejci,Okc,G,21.76,20,17.6,36.6,10.9,14.6,9,0.889,27,45,4.4,2.4,6.8,1,0.5,0.2,0.65
370,Arnoldas Kulboka,Cha,F,24.21,1,2.7,5.6,0,,0,0,0,0,0,0,0,0,0,0,0
371,Jonathan Kuminga,Gol,F,19.46,60,16.5,34.5,22.8,12.3,152,0.691,257,131,9.1,3.3,10.7,0.8,0.42,0.3,1.07
372,Kyle Kuzma,Was,F,26.66,66,33.4,69.6,24.2,14,219,0.712,561,375,17.1,8.5,14,3.5,0.64,0.86,2.55
373,Anthony Lamb,San,F,24.17,2,3.9,8,10.9,0,0,0,0,2,0,0.5,6.8,1,0,0,0
374,Jeremy Lamb,Ind,G-F,29.81,39,15.7,32.8,20.1,8.4,80,0.838,111,117,7.1,2.4,8.5,1.3,0.59,0.36,0.62
375,Jeremy Lamb,Sac,G-F,29.81,8,20.4,42.6,19.4,8.1,14,0.857,33,29,8.4,4,10.6,2,0.38,0.75,0.75
376,Jock Landale,San,C,26.41,46,10.7,22.3,18.6,12.9,32,0.844,100,75,5,2.3,11.4,0.9,0.22,0.28,0.61
377,Romeo Langford,Bos,G-F,22.41,44,16.6,34.5,13,7.4,34,0.588,101,83,4.7,2.4,7.7,0.4,0.48,0.36,0.36
378,Romeo Langford,San,G-F,22.41,1,16.1,33.5,15.1,0,4,0.25,3,1,7,1,3.3,0,0,0,0
