,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,3PA,PPG,RPG,TRB%,APG,SPG,BPG,TOPG
1421,Eric Gordon,Hou,SG,29,17,32.3,67.3,21.9,0.088,61,0.836,91,130,15.4,2.6,4.6,1.6,0.59,0.47,1.41
1422,Ersan Ilyasova,Phi,PG,30,10,23.3,48.6,18.9,0.097,21,0.571,53,31,9.3,7.6,17.5,1.3,0.7,0.5,1
1423,E'Twaun Moore,Nor,SG,28,9,31.6,65.8,16.1,0.104,16,0.688,63,25,11.3,2.4,4.2,1.7,0.67,0.11,1.22
1424,Evan Turner,Por,SG,29,3,28.9,60.1,20.2,0.15,2,1,26,7,9.3,4,7.6,3.3,1,0.33,2
1425,Fred VanVleet,Tor,PG,23,6,19.1,39.7,17.9,0.086,8,0.875,11,28,6.8,1.7,4.9,2.2,0,0,0.67
1426,Furkan Korkmaz,Phi,SG,20,1,1.6,3.3,26.6,0,0,0,0,1,3,0,0,0,0,0,0
1427,George Hill,Cle,PG,31,19,29.3,61.1,14.1,0.125,53,0.774,80,51,9.2,2.2,4.2,2.2,0.53,0.42,1.16
1428,Gerald Green,Hou,SG,32,17,16,33.3,17.4,0.093,7,0.857,22,72,6.3,2.9,10.3,0.1,0.24,0.41,0.59
1429,Giannis Antetokounmpo,Mil,PF,23,7,40,83.4,26.3,0.105,55,0.691,107,14,25.7,9.6,14,6.3,1.57,0.86,2.43
1430,Glenn Robinson III,Ind,SG,24,2,2.8,5.8,8,0,0,0,1,0,1,0.5,10.1,0,0,0,0
1431,Goran Dragic,Mia,PG,31,5,31.3,65.2,28.8,0.149,22,0.682,55,21,18.6,2.6,4.7,4.6,1,0,3
1432,Gorgui Dieng,Min,PF,28,5,14.1,29.3,13.1,0.048,4,0.75,13,5,3.4,3.6,14.7,0.8,0.4,0.8,0.2
1433,Greg Monroe,Bos,C,27,11,9.5,19.8,26.5,0.227,22,0.682,38,0,4.8,3.2,18.5,0.5,0.18,0.18,1.27
1434,Guerschon Yabusele,Bos,PF,22,12,4,8.3,10.5,0,5,0.4,3,6,0.3,0.9,12.7,0.3,0.17,0,0
1435,Hassan Whiteside,Mia,C,28,5,15.4,32.1,21.9,0.318,13,0.615,20,0,5.2,6.2,22.5,0.2,0,1.2,2.4
1436,Ian Clark,Nor,SG,26,9,21.1,43.9,17.5,0.117,4,1,38,28,7.8,1.1,2.8,1.2,0.89,0.22,1
1437,Ian Mahinmi,Was,C,31,6,8.7,18.1,16.8,0.05,11,0.909,14,0,5,1.8,12,0.2,0.67,0.83,0.17
1438,Jabari Parker,Mil,SF,22,7,23.9,49.8,20,0.081,13,0.615,43,19,10,6.1,15.1,1.4,1,0.71,0.86
1439,Jae Crowder,Uta,PG,27,11,29.4,61.2,18.7,0.104,28,0.643,42,66,10,5.1,9.8,1.7,1.36,0.18,1.27
1440,Jake Layman,Por,SF,23,1,7.9,16.5,16.7,0,0,0,3,0,6,1,6.9,1,2,0,0
1441,Jakob Poeltl,Tor,C,22,9,15.5,32.4,14.9,0.169,19,0.789,30,1,5.4,4,14.5,0.7,0.33,0.44,0.89
1442,Jamal Crawford,Min,SG,37,5,24.6,51.3,20.8,0.087,13,0.769,30,17,11.8,2.6,6.1,2.4,1,0,1
1443,James Harden,Hou,PG,28,17,36.5,76.1,36.3,0.128,133,0.887,211,174,28.6,5.2,8.1,6.8,2.24,0.65,3.82
1444,James Johnson,Mia,PF,30,5,32.1,66.9,16.2,0.172,14,0.643,29,13,12.4,6,10.5,4.8,1.2,1.2,2
1445,Jason Smith,Was,C,31,1,2.2,4.6,0,,0,0,0,0,0,0,0,0,0,0,0
1446,Jason Terry,Mil,SG,40,3,14.6,30.3,6.2,0.167,0,0,0,5,2,1,4,0.7,0.33,0,0.33
1447,JaVale McGee,Gol,C,30,13,12.2,25.4,18.7,0.075,9,0.667,57,1,6.5,3.2,14.8,0.3,0.23,0.85,0.38
1448,Jaylen Brown,Bos,SF,21,18,32.4,67.5,24,0.074,50,0.64,154,112,18,4.9,8.3,1.4,0.78,0.56,1.28
1449,Jayson Tatum,Bos,SF,19,19,35.9,74.9,22.7,0.119,97,0.845,190,71,18.5,4.4,6.7,2.7,1.21,0.58,2.16
1450,Jeff Green,Cle,SF,31,22,23.8,49.6,15.3,0.095,46,0.717,72,70,7.7,2.4,5.8,1.5,0.32,0.68,0.77
1451,Jeff Teague,Min,PG,29,5,30.6,63.8,21,0.193,17,0.706,33,18,13,3.6,6.8,5.8,0.6,0.4,2.8
1452,Jerami Grant,Okc,SF,23,6,22.1,46.1,14.8,0.131,11,0.455,27,8,7.2,3.5,8.7,1,0.67,0.5,1
1453,Jerryd Bayless,Phi,PG,29,1,1.7,3.5,0,,0,0,0,0,0,0,0,0,0,0,0
